date,AQI,PM25,PM10,NO,NO2,O3,CO,SO2,NH3
2024-09-19,2.92,21.2,28.6,1.4,48.1,94.1,5020.1,2.1,4.5
2024-09-20,3.33,26.7,36.2,2.0,58.2,99.4,6198.7,3.0,5.6
2024-09-21,3.42,24.5,35.1,1.1,53.5,97.5,5660.5,2.7,5.1
2024-09-22,3.08,22.3,32.3,1.0,42.8,98.0,4592.1,2.3,5.4
2024-09-23,3.46,33.7,44.8,1.4,56.5,102.1,5942.2,2.9,5.9
2024-09-24,3.25,29.3,38.6,1.3,51.3,97.1,5537.0,2.6,5.3
2024-09-25,3.58,45.1,58.2,1.3,44.9,124.4,4942.0,2.7,5.4
2024-09-26,3.33,44.6,58.4,1.5,33.3,127.0,4323.6,2.0,4.4
2024-09-27,3.0,29.6,43.7,1.7,41.7,89.9,4458.0,1.9,4.6
2024-09-28,3.0,24.6,37.4,1.5,28.3,108.0,3409.3,1.4,3.5
2024-09-29,2.79,19.9,30.1,1.2,46.1,61.4,4733.1,1.7,3.8
2024-09-30,3.46,39.5,61.6,4.1,69.4,82.9,7657.6,3.4,7.1
2024-10-01,2.67,20.4,38.6,1.0,31.4,73.7,3135.1,2.3,4.1
2024-10-02,2.92,25.6,37.3,1.7,40.7,93.6,4390.4,3.0,5.0
2024-10-03,2.96,24.3,35.8,1.9,39.9,83.7,4499.2,2.9,4.3
2024-10-04,2.79,25.1,37.5,2.1,42.9,92.6,4544.2,2.5,3.5
2024-10-05,2.83,23.5,35.4,1.4,32.9,90.3,3616.0,1.7,2.8
2024-10-06,2.79,22.3,32.8,1.1,21.6,99.0,2696.4,1.7,2.1
2024-10-07,2.92,16.1,24.1,0.7,17.3,99.0,2044.7,1.2,1.8
2024-10-08,2.79,15.8,21.7,0.3,29.5,83.8,3287.2,1.1,1.8
2024-10-09,3.46,36.9,45.0,5.6,59.8,72.2,6931.6,2.1,3.8
2024-10-10,3.38,36.1,46.1,2.9,64.3,81.6,6740.3,2.4,4.5
2024-10-11,3.5,35.9,45.8,6.9,68.4,74.1,7921.3,2.6,4.6
2024-10-12,3.17,26.2,34.9,1.8,53.1,74.6,5576.5,2.5,4.4
2024-10-13,2.83,24.2,32.7,1.6,41.3,77.9,4366.2,1.9,3.9
2024-10-14,3.38,38.4,49.9,3.8,67.7,78.2,7132.2,3.2,5.5
2024-10-15,3.25,34.2,50.1,1.7,41.4,93.2,4797.3,3.0,4.5
2024-10-16,3.25,33.8,52.5,2.2,42.9,85.0,4581.8,3.5,4.2
2024-10-17,3.62,45.3,62.0,3.6,78.0,82.9,7533.0,4.4,5.3
2024-10-18,3.75,44.1,54.9,8.8,75.4,82.6,8561.6,3.5,5.3
2024-10-19,3.0,47.4,57.3,0.0,64.4,21.5,6782.5,4.5,9.8
