date,temperature,feels_like,humidity,pressure,wind_speed
2024-09-19,19.4,19.4,36.1,1014.1,10.4
2024-09-20,20.0,19.8,29.5,1012.9,11.5
2024-09-21,21.0,20.7,27.3,1012.6,8.6
2024-09-22,21.7,21.3,22.3,1011.4,9.0
2024-09-23,22.0,21.5,23.7,1011.9,9.7
2024-09-24,21.6,21.2,26.6,1010.5,10.1
2024-09-25,20.7,20.5,35.1,1009.3,9.7
2024-09-26,20.5,20.4,46.1,1009.2,11.5
2024-09-27,18.4,18.4,41.0,1009.6,16.6
2024-09-28,17.1,17.1,44.1,1012.2,15.1
2024-09-29,16.7,16.7,52.8,1015.8,9.7
2024-09-30,16.7,16.7,48.8,1016.3,7.9
2024-10-01,17.2,17.1,44.0,1013.3,9.7
2024-10-02,19.8,19.8,24.6,1011.0,15.8
2024-10-03,18.7,18.6,29.4,1010.9,9.4
2024-10-04,18.1,18.0,27.0,1010.8,9.7
2024-10-05,19.3,19.3,25.5,1011.4,25.2
2024-10-06,15.9,15.9,50.5,1017.3,11.9
2024-10-07,13.6,13.6,63.3,1020.5,5.0
2024-10-08,10.9,10.9,82.8,1021.1,7.6
2024-10-09,11.1,11.1,79.1,1019.3,7.6
2024-10-10,12.6,12.5,69.5,1017.2,8.6
2024-10-11,13.6,13.3,60.3,1016.9,7.9
2024-10-12,14.1,13.8,50.2,1016.2,6.8
2024-10-13,16.8,16.8,35.7,1014.4,14.4
2024-10-14,14.2,14.2,49.3,1017.8,10.4
2024-10-15,13.7,13.4,48.2,1017.5,8.6
2024-10-16,13.5,13.1,46.9,1016.3,10.1
2024-10-17,12.2,11.9,52.9,1016.8,8.3
2024-10-18,13.1,13.1,52.9,1016.9,6.8
2024-10-19,13.6,13.3,53.2,1017.4,7.2
